"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"mass";"chi.distance";"inertie"
"tiempo";0,8704586566607;1,22918070325946;-1,28285988902773;0,439967275676843;0,621280839922085;-0,648412611135229;0,253799114093416;0,420864696508732;0,32533618939783;0,00344796577556857;0,00687540232136941;0,0074890219190323;0,00455057890275915;0,881297094668285;0,00353436441411198
"presidente";-1,54843021590977;-0,36650141149065;-0,806944354837048;-0,867891083718461;-0,205423081992803;-0,452290199083037;0,828589019641607;0,0386032995878894;0,132807680770497;0,0104864396449871;0,000587484062918093;0,00284794738809522;0,00437365766151264;0,867643447393958;0,00329251201982106
"hablar";-0,966386941689792;0,338486863858712;0,131937175815883;-0,936043388823854;0,327858725579067;0,127794484626005;0,89845350083964;0,0916630624639874;0,00988343669638277;0,00410378765378246;0,000503461670964509;7,6492198229577e-05;0,00439422989886688;0,520022926397444;0,00118830454057887
"venir";-0,646772732609777;0,529839685240849;0,624828725648934;-0,619650572664548;0,507621066607305;0,598626778997531;0,474182163822445;0,264635439274871;0,261182396902691;0,00177276900947534;0,0011897006937691;0,00165451504854206;0,00423788089497461;0,479069294123226;0,000972624977283633
"grande";0,212681437582653;-0,388578173778188;0,171384521418276;0,44777615063352;-0,818106370035145;0,36083027344133;0,240430582906596;0,667428221004291;0,0921411960891436;0,000179410447866263;0,000598887655998731;0,000116501561972745;0,00396632736189857;0,221235070542231;0,000194131719946282
"pensar";0,626361991074011;0,285436871120751;-0,221291175513107;0,866300733199751;0,394778377771858;-0,306060569334559;0,802335060651333;0,138561427258463;0,0591035120901742;0,00149638052780239;0,000310750188258001;0,00018677530221314;0,00381409280547715;0,356670139264563;0,00048520443167657
"ahí";-0,909592630722879;0,568359316878759;0,442916743507904;-0,783850177624466;0,489789095076416;0,381687753775673;0,682767867520656;0,221688109765845;0,0955440227135097;0,00328838391182716;0,00128391010112518;0,00077970953425499;0,00397455625684027;0,561473982432817;0,00125299091459519
"problema";0,701492125906639;-1,00024015042058;0,744803909327276;0,490265787886266;-0,699057776005155;0,520535957485153;0,297968943202878;0,503791913128364;0,198239143668793;0,00175742519503068;0,00357305592846464;0,00198113988869226;0,00357134040469705;0,655475616718621;0,00153442027686029
"después";-0,551040280233817;0,602829937540932;0,290649546850421;-0,635639974600523;0,695380755149806;0,335272170120236;0,46307861624292;0,46088745123129;0,076033932525807;0,00114938636803301;0,00137558988384074;0,000319770686856014;0,00378529167318121;0,413023938305529;0,000645728264297034
"uruguay";-1,38351767580906;-1,02358673312499;-1,07448815759408;-0,681910230331601;-0,504506937030243;-0,529595306113512;0,552130793386425;0,251326953604767;0,196542253008789;0,00696198705101128;0,00381077303639174;0,00419920477570488;0,00363717156423064;0,949692412106077;0,00328042205594366
"estado";-0,384067956136956;-1,52005242675826;-1,08993463524398;-0,201139908471778;-0,796065386619844;-0,570808757331002;0,0532504559669952;0,69365183865901;0,253097705373979;0,000500097728920962;0,00783350036288267;0,00402753794550019;0,00339030471597969;0,848917818725146;0,00244326195646102
"poner";-0,183143847849564;0,273264405453242;0,0946177060526186;-0,535042819907396;0,798324157708629;0,276419464011401;0,332345717196514;0,615302633867782;0,0523516489357218;0,00011744262536054;0,000261461177842237;3,13462729860168e-05;0,00350139479769262;0,162037872278846;9,193357437197e-05
"poco";-0,102723482358229;0,387841575846196;0,287851281121711;-0,208029427291407;0,78543346711822;0,58293912727785;0,0571794124144709;0,677838405232544;0,264982182352987;3,75983582320877e-05;0,000535967109801885;0,000295233576350129;0,00356311150975535;0,219113497053321;0,000171067565381657
"ya";-0,749905123526401;0,632820572925474;0,41479719084446;-0,703934192818799;0,59402719787624;0,389369156924183;0,564090974667603;0,33405264443381;0,101856380898601;0,00199448800835631;0,00142029960756515;0,000610225568892212;0,00354665371987196;0,50927339162393;0,000919857936163167
