"";"";"";"";"también";""
"1";"también";"-0.107110940870561";"-0.0882845118601425";"0.809384134184485";"195"
"2";"demás";"0.0237529796829436";"0.157577735737015";"0.807142726491193";"209"
"3";"se";"-0.0326577030330739";"0.000102847995250004";"0.806881161859121";"211"
"4";"pocos";"-0.125525563794097";"-0.210979565372098";"0.806551188015584";"214"
"5";"cuanto";"0.137502454039455";"-0.186594025723142";"0.803468749428399";"221"
"6";"alrededor";"-0.128210866173694";"0.00501596747994447";"0.802933547950467";"223"
"7";"81";"-0.0829732204124891";"-0.0349401485475955";"0.802354081688647";"227"
"8";"ninguno";"0.175976416596294";"-0.0844547124558892";"0.802301768762232";"228"
