"";"classe 1";"classe 2";"classe 3";"classe 4"
"convocar";-0,05;1,097;2,248;-3,391
"contradiciones";6,82;4,619;-4,136;-7,665
"conservar";0,591;0,489;-1,044;-0,289
"cola";-5,289;0,072;-1,006;7,942
"citar";-4,474;-1,335;-0,733;13,842
"caballo";-2,9;-4,124;-1,381;18,523
"as";-0,192;-0,956;2,491;0
"utópico";-9,367;86,662;-4,136;-10,446
"tráfico";18,609;-4,367;-0,373;-3,964
"suizo";-9,814;-5,338;88,828;-5,772
"solar";-4,11;-3,639;-1,044;19,338
"ruso";-0,131;-5,338;-2,269;12,142
"realizar";-1,101;-1,153;34,332;-7,178
"prueba";14,394;-2,684;-1,908;-1,573
"progresar";7,741;0,783;-1,554;-6,208
"operar";0,853;-4,124;-1,381;2,987
"ocasión";-9,367;-5,095;4,361;10,608
"mitigar";29,675;-2,912;-2,088;-7,665
"logro";0,062;-5,095;-0,071;3,484
"libertaria";-0,034;-3,396;-0,882;6,1
"ingeniero";-4,965;-2,012;28,827;-0,718
"extraño";-4,536;-3,881;-3,151;26,456
"esclavitud";-4,965;60,268;-3,348;-8,455
"déficit";-3,285;-4,367;68,779;-8,953
"divino";-4,11;4,009;-2,954;2,741
"desierto";10,843;-0,093;-3,545;-2,221
"democrático";-0,826;-3,639;35,341;-4,765
"crudo";-4,073;5,347;-0,03;0,029
"costa";1,048;-1,523;-0,867;0,589
"cordano";-5,351;-2,911;-2,363;24,147
"consumismo";25,396;-0,978;-1,73;-9,45
"cliente";-4,073;-4,852;16,396;0,417
"civil";-0,319;-2,684;21,646;-2,99
"calentar";-2,9;-4,124;-1,381;18,523
"bruto";0,062;-5,095;31,6;-7,665
"bombero";-4,536;-3,881;18,456;0,133
"arranque";9,314;0,029;-3,742;-2,6
"agrupación";-2,9;-4,124;-1,381;18,523
"administrar";0,163;-4,852;16,396;-2,99
"aburrir";-4,073;-4,852;-3,939;29,103
"ámbito";-0,182;-4,609;9,109;-0,023
"volverse";-9,367;67,366;-2,088;-7,665
"veterinario";-7,582;-4,124;-3,348;34,213
"valioso";-3,676;9,39;-3,742;0,679
"terciaria";38,634;-2,684;-3,939;-9,948
"sencillez";-4,965;60,268;-3,348;-8,455
"resistencia";4,235;-4,609;3,168;-2,6
"recibirnos";-8,475;-4,609;-3,742;38,241
"poeta";-2,698;-1,335;-2,088;13,842
"plebiscito";-4,965;-4,124;63,79;-5,725
"peleamos";4,546;2,34;-2,757;-4,289
"pacífico";0,062;-5,095;14,86;-1,899
"ok";-5,289;-5,58;63,998;-4,218
"navegar";0,853;-2,012;0,018;0,033
"má";0,316;0,844;-0,126;-1,09
"monarquía";12,604;-4,124;2,081;-8,455
"mir";-5,396;14,894;-1,554;0
"informe";-8,028;-4,367;6,601;6,323
"imposición";19,078;-1,793;-3,151;-3,094
"hola";-5,828;-4,609;0,294;14,044
"feminismo";1,564;10,656;-1,554;-8,953
"escritor";-8,028;-4,367;-3,545;36,227
"emoción";1,564;4,304;-0,373;-6,208
"emocional";-1,695;7,126;-3,545;0,262
"disputa";0,788;0,003;-0,03;-0,607
"demócrata";26,277;-4,124;-3,348;-3,525
"coyuntura";2,776;-5,095;-4,136;3,484
"cos";-3,676;3,634;-3,742;3,235
"correcto";0,788;-2,684;16,396;-7,178
"competencia";19,078;-3,881;0,062;-7,958
"colaborar";0,163;-0,26;-0,03;0,029
"carmelo";-7,582;-4,124;-1,381;28,453
"aspirar";18,609;-2,234;-0,373;-6,208
"antepasado";-0,426;-0,038;-3,348;5,033
"animar";-7,582;-2,012;0,621;10,717
"árabe";-0,826;-0,365;-2,954;7,576
"título";1,564;-4,367;-1,554;2,29
"texto";-4,965;-0,65;0,018;7,609
"sucesión";-7,136;1,403;18,456;-3,094
"sacrificio";-1,387;42,759;-3,348;-8,455
"récord";0,316;0,844;-0,867;-0,349
"rodríguez";-5,396;-2,234;0,001;12,361
"recomendar";-8,475;0,56;-0,485;7,69
"productividad";24,102;-1,793;-3,151;-5,244
"parar|parir";1,564;-4,367;-1,554;2,29
"pampa";-3,266;0,105;-2,56;7,61
"manejo";-3,285;4,304;1,683;-0,979
"mandato";-9,367;7,289;-0,733;1,968
"legal";-4,965;-4,124;53,764;-3,525
"laico";4,849;-3,881;2,553;-3,094
"japonés";-0,255;-3,881;-3,151;12,607
"intervención";-0,319;-1,153;34,332;-9,948
"iniciar";-8,028;-4,367;33,055;0
"in";0,018;3,551;-1,181;-0,74
"grieta";-7,136;-3,881;13,115;2,036
"fortaleza";-4,88;-1,523;29,134;-1,09
"colgar";-8,028;-4,367;-0,373;25,177
"carlos";-7,582;-4,124;0,018;18,523
"brasileño";-2,9;-2,012;53,764;-8,455
"síntoma";6,248;-0,038;0,018;-5,725
"so";-1,642;7,445;0,219;-1,981
"sequía";-2,155;-3,639;-0,106;10,895
"reponer";-8,921;32,473;-0,605;-1,573
"prostitución";9,035;-3,639;3,114;-7,46
"peor";10,791;-0,006;-1,211;-5,244
"nieto";-7,582;-4,124;-3,348;34,213
"luchador";-0,182;35,515;-3,742;-9,45
"llover";-4,11;-3,639;-1,044;19,338
"industrialización";27,486;-3,639;-2,954;-4,765
"indicar";0,322;0,029;0,294;-1,266
"inaugurar";-4,536;-3,881;-3,151;26,456
"huelga";-1,387;-4,124;53,764;-8,455
"empresarial";10,953;-4,852;2,675;-7,178
"económicamente";2,437;0,56;-3,742;-0,407
"domingo";-8,028;-4,367;58,635;-2,221
"despedir";-2,352;-4,852;-3,939;24,205
"cuidado";-5,828;0,029;-3,742;14,044
"comisión";-4,965;-2,012;53,764;-5,725
"casualidad";-0,079;-0,81;3,738;-0,239
"brillante";-2,9;-0,65;-3,348;14,355
"bonito";-5,828;-0,168;-0,006;7,69
"bebida";-1,695;-2,234;26,146;-2,221
"artificial";7,526;-3,881;-3,151;0,133
"adquisitivo";27,486;-1,577;-2,954;-7,46
"ute";-6,244;-3,396;48,904;-2,26
"transporte";-6,244;-3,396;23,326;0,04
"tolosa";-5,351;-2,911;-0,575;18,498
"teoría";10,843;-2,234;0,001;-3,964
"tamaño";18,609;-2,234;-1,554;-3,964
"socio";-1,096;-3,881;39,939;-5,244
"retroceder";9,035;-3,639;-2,954;0
"puñado";0,159;-2,012;-0,271;1,472
"prometer";23,275;-0,81;-3,545;-6,208
"proletariado";17,009;-3,639;-1,044;-2,672
"portugal";-5,828;-4,609;84,797;-9,45
"policial";2,757;-3,881;13,115;-7,958
"periodismo";0,159;-0,65;-0,271;0,487
"pas";-7,136;-1,793;-3,151;26,456
"partidario";6,248;-2,012;4,397;-8,455
"paro";-5,396;-2,234;10,274;1,026
"paralelo";28,929;-3,371;-1,006;-8,641
"paquete";4,235;-4,609;0,294;-0,407
"paciencia";-0,079;-2,234;-0,373;4,056
"movilización";-1,798;-3,396;0,253;6,1
"maíz";-5,797;-1,157;-2,56;20,482
"matrimonio";-4,11;-1,577;53,849;-7,46
"mango";-4,073;32,473;-1,908;-2,99
"luis";-7,582;-4,124;28,827;0,033
"león";-0,486;-2,912;-0,071;5,429
"guitar";4,849;1,403;-1,211;-5,244
"frecuente";14,465;-4,367;-1,554;-0,979
"farc";-4,474;-5,095;63,629;-5,313
"exportador";5,986;-3,639;6,059;-7,46
"exportación";18,609;-2,234;-0,373;-6,208
"entrega";0,053;0,084;1,683;-2,221
"dilma";-7,136;-3,881;69,613;-5,244
"deformación";16,367;0,029;-1,73;-9,45
"declarar";-7,136;-1,793;0,852;9,118
"confrontación";2,099;-4,124;7,57;-3,525
"comodidad";7,741;0,084;-1,554;-3,964
"comienzo";-3,285;2,189;0,001;0,262
"cocaína";-1,096;-1,793;31,868;-5,244
"ciclista";-6,244;-3,396;-0,882;22,47
"chanchos";-8,475;-0,978;-3,742;27,137
"castigar";7,741;-0,81;-1,554;-0,979
"capítulo";-1,387;0,175;-1,381;2,987
"caliente";-0,319;-4,852;-0,605;9,121
"botella";-6,262;-4,852;58,821;-2,99
"bola";-8,028;-2,234;0,437;12,361
"autoritario";0,044;-3,639;27,543;-7,46
"asistir";12,604;-2,012;-0,271;-3,525
"aparición";6,528;-4,609;-0,006;-0,407
"vincular";-6,69;-3,639;14,859;1,226
"tribu";-7,582;70,147;-3,348;-8,455
"remedio";3,447;1,401;-0,605;-4,858
"pt";-2,155;-3,639;44,11;-4,765
"psicológico";0,053;-4,367;-0,373;4,056
"pleito";-1,695;-2,234;6,601;0,262
"pelar";-2,523;-3,881;0,062;9,118
"patrón";-8,028;0,783;-1,554;9,091
"palacio";-7,136;-3,881;5,164;6,194
"orgulloso";-0,426;0,175;2,081;-0,718
"novedad";3,898;-0,65;2,081;-5,725
"mediar";-2,9;-2,012;11,599;0,033
"jornada";1,431;-3,153;-0,725;0,983
"incidir";8,242;6,415;-4,333;-10,944
"impacto";-0,853;-2,458;23,767;-2,6
"gremio";-2,523;-3,881;13,115;0,133
"filosófico";0,163;11,841;-1,908;-4,858
"fijo";-3,266;1,049;-2,56;4,707
"falso";0,001;-1,793;0,852;0,133
"esquema";1,564;2,189;-1,554;-2,221
"emigrante";0,001;-3,881;-1,211;6,194
"emigración";-8,921;3,055;1,066;0,417
"eliminar";19,078;-3,881;-1,211;-3,094
"egoísta";0,001;24,705;-3,151;-7,958
"corregir";0,949;-3,396;1,499;-0,136
"cooperación";2,757;5,986;-3,151;-5,244
"cerrado";0,005;-4,609;-1,73;7,69
"cansar";-5,828;-0,978;-3,742;22,298
"breve";-5,828;-4,609;-1,73;27,137
"bobo";-0,079;-0,093;-3,545;4,056
"atar";-0,079;-0,093;-1,554;2,29
"apostar";12,709;-0,365;-1,044;-4,765
"aplastar";24,102;-3,881;-3,151;-3,094
"alcance";6,248;0,175;-1,381;-3,525
"acceso";-0,255;-3,881;0,852;2,036
"academia";21,168;-4,124;-1,381;-3,525
"topolansky";-7,582;-2,012;0,018;14,355
"régimen";9,15;-2,012;-0,271;-1,856
"prender";-4,536;-1,793;-1,211;16,659
"practicar";1,564;4,304;-3,545;-2,221
"potencial";3,562;0,489;-2,954;-1,18
"plaza";-2,155;-3,639;9,974;0,312
"plano";12,953;-1,157;-0,725;-3,817
"os";-3,285;-2,234;0,001;9,091
"onda";5,161;-0,093;-1,554;-0,979
"niñez";-9,367;-0,003;-4,136;21,599
"mono";-0,255;24,705;-3,151;-5,244
"luna";2,099;-0,65;-1,381;0,033
"llenar";-2,9;16,732;-1,381;-0,718
"kilo";-6,69;-1,577;-0,106;14,816
"inmediato";0,334;-3,881;13,115;-3,094
"impotencia";23,044;-1,157;-2,56;-6,465
"gol";0,334;-3,881;-3,151;6,194
"fulano";1,431;-3,153;-0,725;0,983
"fanatismo";20,635;0,029;-3,742;-9,45
"encostar|encuestar";-4,536;-3,881;24,707;-0,028
"efectivo";-0,581;-3,396;39,338;-6,962
"dec";-4,965;0,175;11,599;-0,718
"cáncer";0,001;-3,881;-3,151;9,118
"comandante";-3,686;-3,396;11,475;0,588
"coca";-5,797;-1,157;54,465;-6,465
"bolívar";-4,536;-0,006;-3,151;12,607
"bebé";-4,965;-2,012;-1,381;18,523
"basar";4,849;0,307;-3,151;-1,508
"banca";-5,828;-4,609;0,294;14,044
"agregado";17,009;-3,639;-2,954;-1,18
"adicción";0,156;-3,396;7,11;-0,876
"ventana";-4,536;-0,502;-3,151;16,659
"urbano";-2,155;-3,639;9,974;0,312
"tuya";-4,965;-4,124;-3,348;28,453
"trascendente";-1,798;24,032;-2,757;-2,26
"transición";-1,387;-4,124;7,57;0,487
"tienda";2,099;-0,038;0,018;-1,856
"susto";2,901;-0,761;0,024;-1,12
"sucio";0,159;-0,65;-0,271;0,487
"sanguinetti";-4,965;-4,124;-1,381;23,223
"sal";1,764;1,824;-2,954;-1,18
"requerir";14,966;-1,365;-0,048;-6,962
"primavera";-2,155;1,824;-0,106;0,312
"piel";0,591;1,824;-2,954;-0,289
"pibe";-8,475;-4,609;-0,485;27,137
"período";-5,351;-2,911;60,987;-5,968
"normal";-2,9;-2,012;-0,271;10,717
"lágrima";0,009;0,365;0,623;-1,491
"literatura";-4,11;1,824;0,138;0,312
"javier";-7,582;-4,124;36,283;-0,11
"investigador";-2,9;-4,124;16,485;0,033
"intimidad";-2,018;0,029;-1,73;5,225
"inmigración";-4,536;-1,793;48,921;-5,244
"inicio";4,546;0,033;-0,882;-2,26
"hab";0,044;-1,577;0,138;0,312
"gordo";0,001;1,403;-0,181;-0,486
"gas";0,044;-1,577;3,114;-0,289
"frigorífico";0,001;-3,881;-3,151;9,118
"filosóficamente";-7,136;47,105;-3,151;-3,094
"divisa";10,822;-3,396;-0,048;-2,26
"creencia";-0,016;16,732;-1,381;-5,725
"corporación";21,168;-0,65;-3,348;-5,725
"corear";-4,11;-1,577;20,716;-0,289
"combustible";-7,136;-3,881;-1,211;26,456
"chileno";-4,965;-4,124;11,599;1,472
"canto";-3,686;17,873;-0,882;-0,876
"camisa";-8,475;23,053;-3,742;0,113
"biblia";-3,266;-0,141;-2,56;11,207
"asamblea";-6,244;-1,365;39,338;-2,26
"agente";-1,096;3,297;0,852;-1,508
"adaptar";7,349;-3,396;-2,757;0,04
"vínculo";-6,69;7,044;14,859;-7,46
"trasladar";0,001;-1,793;5,164;-0,486
"sentado";-3,686;-3,396;-0,882;17,411
"quemar";-2,85;-0,956;-0,575;9,454
"prever";-4,965;-4,124;2,081;7,609
"prehistoria";5,986;4,009;-2,954;-7,46
"polarización";0,044;-1,577;14,859;-4,765
"pieza";-7,136;-0,502;-0,181;12,607
"permanecer";-6,244;17,873;-2,757;0,04
"peripecia";-2,523;47,105;-3,151;-7,958
"nueve";-5,797;-1,157;-0,011;11,207
"modesto";-5,797;-3,153;-0,011;15,497
"mochila";-7,582;35,128;-1,381;-1,856
"migración";-3,686;-3,396;39,338;-2,26
"mezcla";0,053;7,126;-3,545;-0,979
"mediterráneo";22,682;-1,153;-3,939;-4,858
"leyenda";-6,69;0,489;-1,044;7,576
"lesión";-2,9;16,732;0,018;-3,525
"infraestructura";12,604;-4,124;2,081;-8,455
"individualismo";12,953;0,105;-2,56;-6,465
"gratis";-3,686;4,859;-2,757;1,781
"fifa";-4,965;-4,124;2,081;7,609
"facilidad";0,001;-3,881;0,062;2,036
"directamente";-4,11;-3,639;14,859;0,312
"dignidad";-6,244;47,965;-0,882;-6,962
"culturar";2,757;-3,881;0,852;-0,486
"conveniencia";5,749;-0,141;0,416;-6,465
"contener";14,641;-0,502;-1,211;-5,244
"clavo";-3,686;4,859;-0,882;0,588
"caña";-1,096;-3,881;48,921;-7,958
"canelones";-5,797;-3,153;-0,011;15,497
"campeón";-0,367;-3,153;0,416;2,498
"bastar";-4,905;-2,668;-2,166;22,134
"área";2,757;-0,502;5,164;-7,958
"tomate";-6,69;-3,639;-1,044;24,461
"sumar";2,757;-1,793;0,852;-1,508
"suelto";1,431;-3,153;-2,56;2,498
"sirviente";-4,536;5,986;-3,151;2,036
"selva";4,257;-0,956;-0,575;-0,364
"rencor";-4,11;10,927;-1,044;0
"rama";24,683;-2,668;-2,166;-5,47
"querido";0,334;-3,881;0,062;0,802
"presionar";7,526;-3,881;-0,181;-0,486
"pariente";0,156;8,287;-2,757;-2,26
"panorama";12,709;-3,639;0,138;-4,765
"ofender";-0,255;-1,793;-1,211;6,194
"océano";-2,9;-4,124;0,018;10,717
"neoliberal";7,349;-0,244;-0,048;-4,289
"nacionalismo";23,044;-1,157;-2,56;-6,465
"miami";-7,136;-3,881;-0,181;21,276
"marzo";-3,285;-4,367;6,601;2,29
"magia";1,564;-4,367;-3,545;4,056
"madera";-0,016;-4,124;28,827;-5,725
"lidiar";2,757;1,403;-1,211;-3,094
"invierno";-5,351;-0,956;-2,363;18,498
"informar";1,764;-1,577;3,114;-2,672
"guitarra";-0,034;-0,244;-2,757;3,618
"espantoso";-1,798;12,625;-2,757;-0,136
"discrepancia";-2,155;-3,639;44,11;-4,765
"decisivo";6,248;-0,65;-3,348;-0,11
"corneta";-0,064;2,367;-0,787;-0,121
"contratar";0,044;0,002;-1,044;0,312
"condena";0,158;4,714;-2,166;-1,12
"competitivo";2,412;2,34;-0,882;-4,289
"com";-4,536;-0,006;0,062;3,833
"clandestinidad";-2,9;1,061;-0,271;1,472
"bicho";-7,136;24,705;-3,151;-0,028
"bancada";-7,582;-4,124;74,672;-5,725
"analizar";-3,686;17,873;0,253;-4,289
"agregar";-1,096;-1,793;0,852;2,036
"acudir";-0,192;-0,062;-0,575;1,527
"vereda";-4,11;0,489;0,138;1,226
"típico";0,949;-1,365;-2,757;1,781
"transmisión";-2,85;-0,956;0,639;3,417
"traidor";-5,797;-3,153;0,416;11,207
"temperatura";17,638;-3,153;-0,725;-3,817
"sucumbir";5,41;0,366;-1,378;-3,481
"saludo";-3,686;-3,396;-2,757;22,47
"registro";-3,686;-3,396;48,904;-4,289
"refugiar";-4,11;-0,365;-1,044;10,895
"proyectar";-4,11;0,489;-2,954;7,576
"prisionero";17,009;0,002;-2,954;-7,46
"polémico";-4,11;-3,639;53,849;-4,765
"planetario";3,229;5,876;-2,56;-6,465
"penal";-4,459;-2,425;-1,969;20,121
"or";-4,905;-2,668;0,939;7,749
"optimista";1,764;1,824;-1,044;-2,672
"nene";-2,155;-1,577;-2,954;14,816
"nelson mandela";-1,455;5,876;-0,725;-0,035
"místico";-0,826;21,242;-1,044;-4,765
"muro";-3,686;-3,396;-0,048;12,996
"monumento";-2,155;-1,577;27,543;-2,672
"masivo";19,78;-1,365;-2,757;-4,289
"mancha";20,83;-2,911;-0,575;-5,968
"macanudo";-3,686;17,873;-2,757;-0,136
"julio";-5,351;-2,911;2,491;6,06
"jodiendo";-6,244;-1,365;-0,882;17,411
"invitación";-4,905;-2,668;3,177;4,594
"implicar";2,099;0,175;-1,381;-0,718
"imaginación";-3,686;4,859;-2,757;1,781
"huerta";-4,905;1,989;0,024;0,744
"holocausto";13,412;-0,012;-2,166;-5,47
"heladera";-6,69;27,673;-2,954;-0,289
"habitual";-5,797;-3,153;-0,011;15,497
"habana";-4,536;-3,881;39,939;-1,508
"giro";0;-3,153;19,243;-3,817
"fresco";-3,266;-0,141;34,614;-6,465
"exportar";-0,826;-3,639;14,859;-0,289
"exponer";-0,367;5,876;0,416;-3,817
"espectacular";2,412;0,033;-0,882;-0,876
"director";-2,523;-3,881;24,707;-0,486
"difundir";14,966;-1,365;-0,048;-6,962
"devenir";17,009;-0,365;-1,044;-7,46
"che";0,156;-3,396;-0,882;3,618
"castillo";-6,244;-3,396;1,499;9,226
"adorar";-4,905;35,709;-2,166;-2,885
"órgano";2,412;-0,244;1,499;-4,289
"víctima";-4,536;0,307;8,684;-0,486
"verso";10,98;-2,911;-2,363;-0,364
"vencer";10,791;-1,793;0,852;-7,958
"vegetal";-0,034;24,032;-2,757;-6,962
"variar";1,431;0,105;1,942;-6,465
"twitter";-3,266;-3,153;-0,011;11,207
"tranca";7,227;-0,062;-2,363;-1,48
"temor";0,355;-3,153;8,353;-1,862
"silencio";-5,351;1,459;-0,575;3,417
"página";-6,69;-1,577;3,114;4,858
"pu";-0,826;-2,668;0,939;2,259
"provocar";31,939;-2,012;-3,348;-8,455
"probabilidad";-6,69;52,062;-2,954;-4,765
"presa|preso";0,035;-2,911;-2,363;6,06
"peronismo";0,853;-4,124;22,228;-8,455
"penar";-0,826;-2,668;0,939;2,259
"pasta";2,901;-2,668;-0,433;0,049
"nacionalizar";7,349;-3,396;3,784;-6,962
"misión";7,349;-0,244;-2,757;-0,876
"mediano";33,662;-3,639;-2,954;-7,46
"interpretar";-4,536;-3,881;39,939;-1,508
"instituto";-5,797;-3,153;4,587;4,707
"heredar";-3,686;-1,365;16,881;-0,136
"género";12,709;-0,365;-1,044;-4,765
"generosidad";-2,523;3,297;-0,181;0,133
"fruto";0,949;2,34;-2,757;-0,876
"financiar";-1,798;-1,365;23,326;-2,26
"fantástico";-4,11;7,044;-0,106;0
"fabricar";3,229;-3,153;-0,011;-0,035
"evidente";1,431;-3,153;-0,725;0,983
"evento";-7,582;-4,124;16,485;1,472
"estatura";9,035;-0,365;-0,106;-4,765
"envejecer";-1,798;24,032;-0,882;-4,289
"enojar";-6,69;-3,639;-0,106;19,338
"edificio";7,526;-1,793;-1,211;-0,486
"economista";-0,826;-0,761;-0,433;4,594
"club";-2,9;-4,124;0,621;7,609
"cero";-1,798;-3,396;7,11;0,588
"categoría";3,562;-1,577;-1,044;0
"catalina";-5,797;-3,153;-0,725;20,482
"cacharro";-6,244;57,763;-2,757;-6,962
"bar";-6,69;-0,365;-2,954;19,338
"autor";-1,798;-1,365;-0,048;6,1
"anónimo";-5,797;20,465;-2,56;-0,035
"antecedente";6,248;-4,124;7,57;-8,455
"alejar";-4,536;13,753;-0,181;-0,486
"agarramos";12,709;-0,365;-1,044;-4,765
"afán";-5,351;49,508;-2,363;-5,968
"acostar";-1,798;17,873;-2,757;-0,876
"aclarar";-3,686;17,873;-0,882;-0,876
"vejez";-6,262;39,224;-3,939;-1,573
"tupamaros";-0,255;-3,881;13,115;-0,486
"transnacional";8,99;-3,153;1,942;-6,465
"taller";7,227;-2,911;-0,575;-0,364
"tabaco";-2,036;-2,425;29,402;-2,429
"singular";-6,69;0,489;6,059;0
"ropa";4,546;0,731;-2,757;-2,26
"romanar";8,99;-0,141;-2,56;-1,862
"reír";-4,905;-0,761;-0,433;11,724
"republicanismo";2,412;-1,365;-2,757;0,588
"receta";-1,455;27,288;-2,56;-3,817
"psicología";1,431;-0,141;-0,725;-0,035
"privatizar";5,749;-3,153;4,587;-6,465
"petro";-0,034;-3,396;30,812;-6,962
"pala";-4,965;51,139;-3,348;-5,725
"nuevamente";-3,266;-1,157;34,614;-3,817
"montar";0,949;-3,396;-2,757;3,618
"maría";-4,905;-0,012;0,939;2,259
"manir";-4,11;-0,365;14,859;-0,289
"liberar";5,986;-3,639;-0,106;-0,289
"largar";-0,826;-0,761;-2,166;7,749
"interpretación";1,431;-3,153;4,587;-1,862
"infancia";-4,11;-3,639;14,859;0,312
"incidencia";-0,192;-2,911;29,951;-5,968
"galpón";-6,69;-3,639;-2,954;30,187
"freír";31,417;-3,396;-2,757;-6,962
"feudal";5,42;-0,405;-0,186;-1,981
"existimos";7,526;-0,006;-0,181;-5,244
"especialmente";-1,798;-3,396;48,904;-6,962
"destrozar";17,638;-0,141;-2,56;-6,465
"curiosidad";-4,905;1,989;-2,166;4,594
"cubano";4,546;-1,365;-2,757;0,04
"cruz";-4,459;0,001;-1,969;9,876
"convencimiento";2,901;-0,761;-2,166;0,049
"consuelo";-2,9;28,247;-3,348;-1,856
"complementario";-3,686;-0,244;23,326;-2,26
"complejidad";17,638;-1,157;-0,725;-6,465
"cometido";-0,367;27,288;-2,56;-6,465
"cerebro";-5,351;7,103;-0,575;0,387
"cerdo";-6,244;-3,396;-2,757;28,173
"borde";0,355;-0,141;-2,56;0,983
"atlántico";-6,69;-3,639;1,141;10,895
"asociar";26,927;-2,911;-2,363;-5,968
"apurar";-2,523;-3,881;-1,211;16,659
"apartamento";-4,905;8,597;-2,166;0,744
"antropología";-6,244;4,859;-2,757;3,618
"anarquista";-5,351;-2,911;-2,363;24,147
"ahorro";-2,85;-0,956;0;6,06
"absorber";9,035;0,002;-1,044;-4,765
"violento";24,683;-2,668;-2,166;-5,47
"vehículo";-0,034;-3,396;-2,757;9,226
"unión de naciones suramericanas";-0,826;7,044;-1,044;-0,289
"tribunal";1,723;-2,425;-1,969;1,272
"tragar";0,156;2,34;-0,048;-2,26
"tonto";-2,85;7,103;-2,363;0,387
"tolerar";0,355;14,622;-2,56;-6,465
"talento";-2,85;-0,062;0,639;1,527
"suave";-2,523;-0,502;24,707;-3,094
"sancho";23,044;-3,153;-2,56;-3,817
"procesar";-0,367;-0,141;-2,56;4,707
"pesares";-1,798;31,1;-2,757;-4,289
"occidente";0,158;-0,761;3,177;-1,12
"obtener";-3,266;-1,157;26,369;-1,862
"noruego";-6,69;-3,639;-0,106;19,338
"miley";-5,797;-3,153;43,98;-1,862
"macri";-4,459;-2,425;8,196;1,272
"limitar";1,764;7,044;-2,954;-4,765
"legislador";-4,11;-1,577;9,974;0,312
"kg";-2,85;-2,911;-2,363;18,498
"intendencia";-4,905;-2,668;25,365;-0,175
"indigente";2,901;-2,668;-2,166;0,744
"gurí";-0,367;-3,153;-2,56;11,207
"gira";-5,351;-2,911;-2,363;24,147
"estación";-1,798;-0,244;3,784;0,04
"erro";-4,459;-2,425;13,809;0,208
"equidad";25,263;-3,396;-0,882;-6,962
"dramaturgo";-6,244;-3,396;-2,757;28,173
"daniel";-3,686;-3,396;39,338;-2,26
"cura";-0,065;-2,668;-0,433;4,594
"cumbre";-4,905;-2,668;55,903;-5,47
"concluir";-0,367;0,105;-2,56;2,498
"comunicarse";-0,581;-0,244;-2,757;6,1
"chiquilines";-3,686;-3,396;-2,757;22,47
"cementerio";2,068;-2,911;-2,363;1,527
"cacho";-3,121;0,366;-1,378;4,612
"asar";-5,351;-2,911;-2,363;24,147
"artiga";-6,69;-3,639;3,114;7,576
"ajustar";4,257;1,459;-0,575;-5,968
"actuar";-2,523;18,831;0,062;-5,244
"acentuar";25,263;-3,396;-2,757;-4,289
"abrazar";-5,797;-0,141;-0,725;11,207
"topar";-3,266;43,873;-2,56;-6,465
"terreno";4,546;0,033;-2,757;-0,876
"soñamos";-1,798;31,1;-0,882;-6,962
"sapiens";-0,034;24,032;-2,757;-6,962
"robot";8,99;-0,141;-2,56;-1,862
"rescatar";7,349;-0,244;-0,048;-4,289
"radical";-2,439;-2,668;25,365;-1,12
"puesta";-1,13;-0,956;2,491;0,387
"psiquiatra";3,562;-1,577;-2,954;0,312
"plato";-5,797;-3,153;-2,56;26,16
"perfil";1,103;-2,668;-0,433;0,744
"patrimonio";14,966;-3,396;-0,048;-4,289
"parlamentario";-2,85;-0,956;22,033;-1,48
"obstáculo";8,99;-0,141;-0,725;-3,817
"mln";-5,797;-3,153;8,353;2,498
"merced";-4,11;-3,639;-2,954;24,461
"megalópolis";-3,686;31,1;-2,757;-2,26
"manini";-4,905;-2,668;55,903;-5,47
"magnitud";-1,798;31,1;-2,757;-4,289
"israel";-0,003;-2,425;1,337;0,208
"impresionar";0,355;-3,153;0,416;0,162
"henchir|hinchar";-5,797;-0,141;-0,011;7,61
"gringos";-1,642;7,445;-1,772;0
"fundir";-0,367;-3,153;-0,011;4,707
"fripur";2,901;-2,668;3,177;-2,885
"feudalismo";5,552;-2,668;0,024;-1,12
"fama";-5,797;-1,157;-0,011;11,207
"experimento";2,901;-0,012;-0,433;-1,12
"estúpido";14,966;0,033;-2,757;-6,962
"espejo";-1,13;0,23;9,835;-3,348
"ent";-1,455;5,876;-2,56;0,162
"enseguida";-0,034;-3,396;-0,882;6,1
"enganchar";-2,439;27,194;-2,166;-2,885
"eficiencia";17,638;-3,153;-2,56;-1,862
"discrepar";8,99;-3,153;-2,56;-0,035
"dictador";-1,455;-3,153;4,587;0,983
"completo";-2,85;-0,062;0,639;1,527
"combate";7,227;-0,956;-2,363;-0,364
"chupar";-2,85;1,459;0;0,387
"choque";7,526;-0,502;-1,211;-1,508
"casero";-2,036;5,919;-1,969;0,208
"calor";0,394;2,673;-1,969;-0,786
"callar";-1,13;1,459;-2,363;1,527
"café";-0,826;0,422;3,177;-1,12
"británico";0,661;-0,956;2,491;-1,48
"autorizar";-6,244;-3,396;71,155;-6,962
"an";2,901;-0,012;-0,433;-1,12
"activo";5,986;-0,365;-0,106;-2,672
"acerca";-1,798;-3,396;30,812;-2,26
"íntimo";0,158;1,989;0,024;-2,885
"ético";3,229;1,049;-2,56;-1,862
"valorar";-2,85;3,75;-2,363;1,527
"ucrania";-0,826;-2,668;6,738;0,049
"tupamaro";-5,797;-3,153;-0,725;20,482
"trigo";-6,69;7,044;-1,044;1,226
