"";"classe 1";"classe 2";"classe 3";"classe 4"
"meter";20,768;-17,545;-7,563;1,491
"construir";51,897;24,36;-30,931;-46,784
"ganar";-14,3;0,071;53,569;-5,187
"libertad";-28,025;412,466;-41,977;-46,239
"sentido";1,045;147,891;-33,735;-44,416
"guerra";10,919;-34,886;111,904;-43,512
"empresa";-1,604;-26,918;354,978;-85,046
"casi";-10,754;-6,218;21,416;2,794
"latino";63,009;-61,477;187,121;-142,868
"público";-11,036;-38,491;217,9;-9,863
"izquierda";119,156;-17,089;0,185;-57,214
"idea";25,951;-38,879;-0,705;0,833
"señor";-65,176;-37,631;44,447;61,326
"camino";32,815;0,23;-9,688;-12,753
"económico";257,194;-28,89;-4,194;-91,985
"caso";-20,511;-27,827;236,213;-10,351
"amigo";-54,484;-0,47;-9,653;105,277
"tema";-66,976;-36,974;251,781;0,426
"humanidad";163,816;-1,064;-32,15;-52,123
"fuerte";23,472;-12,734;13,124;-21,154
"entrar";-0,581;-7,597;0,005;9,074
"lucha";1,378;76,843;-8,945;-38,118
"pequeño";2,992;-4,657;13,948;-7,951
"encontrar";0,408;0,005;-4,708;1,049
"último";-19,693;-31,286;10,659;42,105
"vuelta";-30,454;0,362;-5,853;46,364
"creer";1,2;221,563;-33,302;-82,049
"malo";161,426;-6,795;-13,528;-54,318
"cuestión";116,631;1,371;-28,346;-54,531
"tres";-43,675;-32,407;-7,486;180,218
"persona";-29,442;-15,735;-1,913;95,012
"además";0,115;-0,598;-0,433;0,698
"compañero";-38,77;-6,526;-15,826;129,657
"vender";0,186;-14,354;9,924;0,081
"derecho";3;31,695;-0,111;-38,12
"valor";60,642;18,647;-12,06;-72,873
"europa";90,069;-23,368;0,178;-31,024
"uruguayo";-15,17;-28,554;40,868;10,785
"unir";-14,869;-43,356;505,031;-69,999
"luchar";7,472;107,509;-21,243;-60,5
"distinto";33,919;1,797;-5,902;-24,272
"buscar";-0,079;-0,558;-17,37;17,515
"todavía";-0,685;-9,772;-2,463;21,88
"crear";141,356;-3,076;-5,163;-70,463
"lograr";71,963;-2,484;-2,463;-33,141
"comer";-10,16;-6,241;-23,105;81,204
"caer";0,044;31,421;-4,665;-10,381
"amor";-70,912;544,834;-28,664;-51,423
"difícil";16,846;-0,732;-7,022;-1,486
"civilización";74,77;47,124;-39,011;-87,229
"aparecer";29,782;-14,545;-3,081;-0,578
"familia";-13,761;1,503;-30,414;48,26
"preguntar";-52,011;-34,829;2,926;114,313
"marihuana";-3,43;-32,001;337,954;-62,309
"generación";6,024;1,926;-4,451;-3,663
"hora";-30,738;-6,592;-6,334;91,739
"propio";73,774;-9,613;-1,806;-22,616
"generar";102,636;-3,784;-7,731;-37,317
"defender";30,474;7,76;-3,468;-39,585
"valer";-47,877;101,484;0,28;-4,447
"vivo";-40,732;254,671;-29,162;-8,529
"futuro";39,217;-12,941;-2,894;-3,148
"traer";-7,582;-7,385;-9,388;54,738
"atrás";-0,408;0,498;-13,878;8,787
"naturaleza";-22,85;401,784;-35,32;-56,291
"ley";-5,513;0,101;184,835;-75,094
"tampoco";17,139;-8,635;-0,197;-1,531
"plantear";24,649;-4,633;0,353;-12,426
"igual";11,01;-0,371;-0,988;-3,838
"campo";1,782;-0,011;-26,054;7,816
"inventar";36,427;4,494;-23,611;-15,036
"cantidad";16,513;31,978;-8,818;-41,04
"sentar|sentir";-14,654;1,397;2,146;2,579
"ningún";8,433;2,651;-0,233;-14,727
"gastar";-19,378;225,745;-32,699;-14,639
"mano";0,294;4,818;-3,361;-0,875
"interés";179,605;-7,891;-12,007;-64,804
"necesidad";-3,568;276,531;-22,069;-71,302
"especie";0,096;82,132;-10,594;-28,822
"relación";2,517;3,853;3,036;-20,967
"mundial";51,549;-36,835;59,649;-64,195
"mal";0,592;-0,87;-1,336;0,883
"posible";10,175;23,376;-3,911;-31,81
"recurso";186,595;-12,057;-15,968;-53,691
"chino";32,53;-35,39;-2,897;0,567
"vino";-69,502;-30,953;0,447;152,047
"vista";230,091;-23,359;-24,93;-47,293
"fuerza";101,14;-0,691;-8,517;-47,128
