1994;0;0;3;1
1950;0;0;2;1
1929;1;0;0;4
1905;0;0;4;2
1880;0;0;1;3
1860;0;0;1;2
1825;0;0;3;0
125;4;0;0;1
00;2;0;2;1
cincuenta;2;0;0;1
1870;0;0;3;0
g;1;0;0;3
41;1;1;1;2
1970;2;0;0;2
100000;3;0;2;0
62;0;0;1;2
6000;1;0;0;2
46;0;0;0;3
45000;1;0;0;3
380;0;1;1;1
38;1;0;0;2
370;0;0;0;3
360;3;0;0;0
350;3;0;0;0
31;1;0;1;1
2024;2;0;1;0
2019;0;0;2;1
2016;0;0;1;2
2001;1;0;1;1
1935;0;2;0;1
1925;2;1;0;1
140;1;0;1;1
110;1;0;1;1
81;2;0;0;2
51;3;0;0;0
1987;3;0;0;0
15000;0;1;1;1
129;0;0;0;3
1907;1;1;0;1
