"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"mass";"chi.distance";"inertie"
"classe 1";0,846897636988823;-0,88358013928727;0,859247174148545;0,566330878530596;-0,590860919524977;0,574589166101191;0,397975548599918;0,360249730098694;0,241774721301347;0,22162517120897;0,241239896113638;0,228135813169128;0,308999119508241;0,684734116206385;0,144877577430075
"classe 2";1,22069452089097;1,08592366817153;-1,25028368037866;0,593344247627195;0,527836039930379;-0,607726680966315;0,439126704419191;0,288995899761832;0,271877395819028;0,284775013451016;0,225365009784384;0,298748006191148;0,191111970573472;0,939574694947041;0,168713763700772
"classe 3";-1,10891700669366;-1,32700205339453;-1,43541172283688;-0,493410875629404;-0,590447473683928;-0,638684185361507;0,314492616256172;0,374518073351333;0,310989310392495;0,203220817455875;0,291013606918791;0,34050467851121;0,165260897114127;1,00858628432854;0,168111034956565
"classe 4";-0,931539883751444;0,851076454621457;0,62951988077756;-0,660617911601646;0,603555853992159;0,446435108367247;0,509250483652656;0,353494710157847;0,137254806189522;0,290378997884139;0,242381487183187;0,132611502128514;0,334628012804161;0,665817137760421;0,148344767854161
