"";"X";"V1"
"456";456;2
"457";457;2
"458";458;1
"459";459;2
"460";460;2
"461";461;2
"462";462;2
"463";463;1
"464";464;2
"465";465;2
"466";466;2
"467";467;2
"468";468;2
"469";469;2
"470";470;2
"471";471;2
"472";472;2
"473";473;2
"474";474;2
"475";475;2
"476";476;2
"477";477;2
"478";478;2
"479";479;1
"480";480;2
"481";481;2
"482";482;2
"483";483;2
"484";484;2
"485";485;2
"486";486;2
"487";487;2
"488";488;4
"489";489;2
"490";490;2
"491";491;4
"492";492;2
"493";493;4
"494";494;2
"495";495;2
"496";496;2
"497";497;2
"498";498;2
"499";499;4
"500";500;4
"501";501;4
"502";502;2
"503";503;2
"504";504;2
"505";505;2
"506";506;2
"507";507;2
"508";508;2
"509";509;2
"510";510;2
"511";511;2
"512";512;4
"513";513;2
"514";514;2
"515";515;2
"516";516;2
"517";517;2
"518";518;4
"519";519;2
"520";520;2
"521";521;4
"522";522;4
"523";523;1
"524";524;2
"525";525;1
"526";526;4
"527";527;4
"528";528;2
"529";529;1
"530";530;1
"531";531;1
"532";532;1
"533";533;2
"534";534;1
"535";535;2
"536";536;2
"537";537;4
"538";538;4
"539";539;4
"540";540;4
"541";541;4
"542";542;4
"543";543;4
"544";544;4
"545";545;2
"546";546;1
"547";547;3
"548";548;3
"549";549;3
"550";550;3
"551";551;3
"552";552;4
"553";553;4
"554";554;3
"555";555;4
"556";556;3
"557";557;3
"558";558;3
"559";559;4
"560";560;4
"561";561;3
"562";562;3
"563";563;3
"564";564;3
"565";565;3
"566";566;3
"567";567;3
"568";568;3
"569";569;1
"570";570;1
"571";571;2
"572";572;3
"573";573;3
"574";574;3
"575";575;3
"576";576;4
"577";577;4
"578";578;3
"579";579;2
"580";580;2
"581";581;1
"582";582;4
"583";583;3
"584";584;3
"585";585;3
"586";586;2
"587";587;2
"588";588;2
"589";589;1
"590";590;1
"591";591;1
"592";592;3
"593";593;1
"594";594;1
"595";595;1
"596";596;1
"597";597;1
"598";598;3
"599";599;3
"600";600;3
"601";601;3
"602";602;3
"603";603;3
"604";604;3
"605";605;4
"606";606;3
"607";607;4
"608";608;3
"609";609;4
"610";610;3
"611";611;2
"612";612;2
"613";613;1
"614";614;3
"615";615;4
"616";616;4
"617";617;3
"618";618;3
"619";619;4
"620";620;4
"621";621;3
"622";622;3
"623";623;4
"624";624;3
"625";625;3
"626";626;3
"627";627;1
"628";628;3
"629";629;3
"630";630;3
"631";631;3
"632";632;1
"633";633;3
"634";634;3
"635";635;4
"636";636;4
"637";637;3
"638";638;3
"639";639;4
"640";640;4
"641";641;3
"642";642;4
"643";643;3
"644";644;2
"645";645;1
"646";646;1
"647";647;3
"648";648;3
"649";649;1
"650";650;3
"651";651;2
"652";652;3
"653";653;3
"654";654;3
"655";655;3
"656";656;1
"657";657;3
"658";658;3
"659";659;1
"660";660;1
"661";661;4
"662";662;4
"663";663;0
"664";664;3
"665";665;3
"666";666;4
"667";667;1
"668";668;2
"669";669;3
"670";670;3
"671";671;3
"672";672;3
"673";673;4
"674";674;3
"675";675;3
"676";676;3
"677";677;3
"678";678;3
"679";679;4
"680";680;4
"681";681;1
"682";682;1
"683";683;1
"684";684;3
"685";685;1
"686";686;1
"687";687;1
"688";688;4
"689";689;4
"690";690;4
"691";691;4
"692";692;3
"693";693;3
"694";694;1
"695";695;4
"696";696;4
"697";697;1
"698";698;1
"699";699;1
"700";700;2
"701";701;4
"702";702;3
"703";703;3
"704";704;4
"705";705;4
"706";706;4
"707";707;1
"708";708;2
"709";709;3
"710";710;1
"711";711;3
"712";712;2
"713";713;2
"714";714;3
"715";715;3
"716";716;3
"717";717;4
"718";718;3
"719";719;3
"720";720;4
"721";721;3
"722";722;3
"723";723;1
"724";724;3
"725";725;1
"726";726;2
"727";727;3
"728";728;1
"729";729;3
"730";730;3
"731";731;1
"732";732;3
"733";733;3
"734";734;1
"735";735;3
"736";736;3
"737";737;3
"738";738;3
"739";739;3
"740";740;3
"741";741;4
"742";742;3
"743";743;3
"744";744;3
"745";745;2
"746";746;1
"747";747;1
"748";748;4
"749";749;1
"750";750;4
"751";751;4
"752";752;2
"753";753;3
"754";754;1
"755";755;2
"756";756;2
"757";757;3
"758";758;4
"759";759;3
"760";760;3
"761";761;3
"762";762;1
"763";763;1
"764";764;4
"765";765;4
"766";766;1
"767";767;1
"768";768;3
"769";769;4
"770";770;3
"771";771;1
"772";772;1
"773";773;1
"774";774;1
"775";775;2
"776";776;4
"777";777;4
"778";778;4
"779";779;4
"780";780;4
"781";781;4
"782";782;4
"783";783;4
"784";784;3
"785";785;3
"786";786;3
"787";787;1
"788";788;1
"789";789;3
"790";790;3
"791";791;3
"792";792;3
"793";793;1
"794";794;1
"795";795;2
"796";796;3
"797";797;1
"798";798;1
"799";799;4
"800";800;4
"801";801;3
"802";802;3
"803";803;3
"804";804;3
"805";805;3
"806";806;3
"807";807;4
"808";808;3
"809";809;1
"810";810;1
"811";811;4
"812";812;3
"813";813;4
"814";814;2
"815";815;2
"816";816;1
"817";817;1
"818";818;1
"819";819;1
"820";820;4
"821";821;4
"822";822;4
"823";823;3
"824";824;2
"825";825;2
"826";826;4
"827";827;4
"828";828;2
"829";829;1
"830";830;1
"831";831;2
"832";832;2
"833";833;2
"834";834;2
"835";835;1
"836";836;1
"837";837;2
"838";838;4
"839";839;1
"840";840;2
"841";841;2
"842";842;2
"843";843;2
"844";844;1
"845";845;1
"846";846;2
"847";847;2
"848";848;2
"849";849;4
"850";850;4
"851";851;2
"852";852;2
"853";853;2
"854";854;2
"855";855;4
"856";856;4
"857";857;1
"858";858;3
"859";859;1
"860";860;4
"861";861;1
"862";862;3
"863";863;1
"864";864;4
"865";865;4
"866";866;1
"867";867;1
"868";868;2
"869";869;2
"870";870;2
"871";871;2
"872";872;4
"873";873;4
"874";874;1
"875";875;4
"876";876;4
"877";877;4
"878";878;3
"879";879;1
"880";880;4
"881";881;4
"882";882;4
"883";883;4
"884";884;4
"885";885;3
"886";886;3
"887";887;4
"888";888;2
"889";889;4
"890";890;4
"891";891;4
"892";892;4
"893";893;4
"894";894;4
"895";895;1
"896";896;1
"897";897;1
"898";898;2
"899";899;2
"900";900;2
"901";901;1
"902";902;2
"903";903;1
"904";904;1
"905";905;1
"906";906;1
"907";907;0
"908";908;2
"909";909;2
"910";910;1
"911";911;4
"912";912;1
"913";913;1
"914";914;4
"915";915;2
"916";916;1
"917";917;1
"918";918;1
"919";919;1
"920";920;2
"921";921;1
"922";922;1
"923";923;4
"924";924;2
"925";925;4
"926";926;1
"927";927;3
"928";928;2
"929";929;2
"930";930;2
"931";931;2
"932";932;1
"933";933;1
"934";934;1
"935";935;1
"936";936;4
"937";937;4
"938";938;3
"939";939;3
"940";940;1
"941";941;4
"942";942;4
"943";943;1
"944";944;1
"945";945;2
"946";946;1
"947";947;1
"948";948;1
"949";949;1
"950";950;1
"951";951;2
"952";952;2
"953";953;4
"954";954;3
"955";955;3
"956";956;3
"957";957;1
"958";958;1
"959";959;1
"960";960;2
"961";961;2
"962";962;4
"963";963;4
"964";964;1
"965";965;1
"966";966;1
"967";967;1
"968";968;1
"969";969;2
"970";970;1
"971";971;1
"972";972;1
"973";973;1
"974";974;3
"975";975;3
"976";976;3
"977";977;3
"978";978;2
"979";979;1
"980";980;1
"981";981;3
"982";982;3
"983";983;4
"984";984;3
"985";985;3
"986";986;3
"987";987;1
"988";988;4
"989";989;1
"990";990;1
"991";991;1
"992";992;1
"993";993;3
"994";994;3
"995";995;3
"996";996;4
"997";997;1
"998";998;1
"999";999;3
"1000";1000;3
"1001";1001;2
"1002";1002;3
"1003";1003;3
"1004";1004;3
"1005";1005;3
"1006";1006;3
"1007";1007;3
"1008";1008;1
"1009";1009;1
"1010";1010;4
"1011";1011;4
"1012";1012;1
"1013";1013;1
"1014";1014;1
"1015";1015;4
"1016";1016;4
"1017";1017;4
"1018";1018;3
"1019";1019;4
"1020";1020;4
"1021";1021;1
"1022";1022;1
"1023";1023;1
"1024";1024;0
"1025";1025;1
"1026";1026;3
"1027";1027;3
"1028";1028;4
"1029";1029;2
"1030";1030;2
"1031";1031;2
"1032";1032;2
"1033";1033;2
"1034";1034;3
"1035";1035;4
"1036";1036;2
"1037";1037;2
"1038";1038;2
"1039";1039;4
"1040";1040;4
"1041";1041;1
"1042";1042;2
"1043";1043;1
"1044";1044;2
"1045";1045;2
"1046";1046;2
"1047";1047;2
"1048";1048;2
"1049";1049;2
"1050";1050;1
"1051";1051;2
"1052";1052;1
"1053";1053;2
"1054";1054;2
"1055";1055;1
"1056";1056;3
"1057";1057;3
"1058";1058;3
"1059";1059;3
"1060";1060;4
"1061";1061;4
"1062";1062;3
"1063";1063;2
"1064";1064;4
"1065";1065;4
"1066";1066;4
"1067";1067;4
"1068";1068;1
