nacional;37;12;107;18
esperar;23;15;48;86
libre;22;120;11;22
significar;102;38;15;20
jugar;63;33;25;66
josé;1;1;38;140
tocar;11;104;21;36
palabra;17;35;17;98
dios;24;101;12;37
preciso;19;108;7;20
etcétera;91;8;14;13
sistema;120;20;19;5
auto;22;55;2;90
democracia;116;9;21;26
común;106;11;18;35
rico;108;30;12;15
militar;46;9;24;80
adentro;52;60;9;49
medida;121;13;23;16
servir;35;64;16;53
escuchar;12;13;12;129
reconocer;78;18;31;41
general;48;19;69;30
cabeza;33;47;8;83
colombia;34;10;94;22
pelear;55;65;11;30
fin;27;67;25;57
preso;28;21;13;95
imponer;126;26;7;8
mañana;12;21;10;113
crecer;106;6;14;16
ayudar;75;33;17;33
ah;14;15;21;123
transformar;86;52;14;11
enorme;76;32;23;19
causa;61;83;3;7
agua;24;15;13;97
fenómeno;101;18;13;19
mis;19;30;9;89
colectivo;105;30;6;3
animal;22;111;1;17
visión;93;13;22;25
crisis;88;3;35;23
recibir;15;26;28;78
discutir;74;6;25;40
ver|vestir;7;10;9;134
derecha;114;2;16;12
usar;20;60;20;44
seguramente;57;23;26;39
proceso;81;7;30;32
madre;18;31;5;105
capital;85;6;24;30
montón;49;21;11;62
producir;62;4;30;38
histórico;89;12;34;22
drogar;100;7;24;12
papel;62;34;20;37
dónde;33;20;19;78
chico;15;11;5;110
razón;69;49;11;20
discurso;17;19;38;66
lula;13;1;84;31
inversión;44;13;77;5
arreglar;96;16;11;27
república;15;7;97;31
etapa;43;74;5;18
situación;60;6;67;12
universidad;70;5;13;46
ciencia;97;19;5;16
cumplir;49;32;8;55
venezuela;31;8;83;14
olvidar;52;29;22;36
cultural;114;12;9;10
proyecto;37;8;71;19
mantener;57;30;16;35
falta;37;29;13;54
favor;65;18;26;34
pesar;61;45;5;24
mover;61;18;17;46
mil;24;23;9;80
levantar;20;90;2;31
pobreza;81;30;7;14
muchacho;20;46;7;71
allí;36;20;24;55
mandar;9;3;16;110
adelante;20;48;18;49
abajo;46;12;7;86
mes;11;8;29;97
respuesta;52;33;9;38
amplio;4;2;135;5
suerte;26;25;14;62
elegir;21;15;25;73
equivocar;23;56;18;32
capaz;23;81;8;26
recordar;15;30;13;71
mejorar;78;32;9;14
